,V1,Astrocyte,Endothelial,IT,L4 IT,L5 ET,L5/6 IT Car3,L5/6 NP,L6 CT,L6b,LAMP5,Microglia,Oligodendrocyte,OPC,PAX6,Pericyte,PVALB,SST,VIP,VLMC
,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121001,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0
CS1910121002,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
CS1910121003,0,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0,0,0,0,0
CS1910121004,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0
CS1910121005,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0
CS1910121006,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0
CS1910121007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
CS1910121008,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
CS1910121009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0
CS1910121010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
CS1910121011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
CS1910121012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
CS1910121013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0
CS1910121014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
CS1910121015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0
CS1910121016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0
CS1910121017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
CS1910121018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
CS1910121019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
CS1910121020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0
CS1910121021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0
CS1910121022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
CS1910121023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0
CS1910121024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
CS1910121025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0
CS1910121026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
CS1910121027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0
CS1910121028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
CS1910121029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
CS1910121030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0
CS1910121031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
CS1910121032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0
CS1910121033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0
CS1910121034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0
CS1910121035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0
CS1910121036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0
CS1910121037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
CS1910121038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0
CS1910121039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
CS1910121040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,0,0
CS1910121041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0
CS1910121042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0
CS1910121043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
CS1910121044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0
CS1910121045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0
CS1910121046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0
CS1910121047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0
CS1910121048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0
CS1910121049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0
CS1910121050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
CS1910121051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0
CS1910121052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0
CS1910121053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0
CS1910121054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
CS1910121055,0,0,0,0,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121056,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121057,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121058,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121059,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121060,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121061,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121062,0,0,0,6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121063,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121064,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121065,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121066,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121067,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121068,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121069,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121070,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121071,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121072,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121073,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121074,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121075,0,0,0,2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121076,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121077,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121078,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121079,0,0,0,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121080,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121081,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS1910121082,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
